Title,Const,poster
 Dune: Part Two,tt15239678,https://image.tmdb.org/t/p/original/czembW0Rk1Ke7lCJGahbOhdCuhV.jpg
Kingdom of the Planet of the Apes,tt11389872,https://image.tmdb.org/t/p/original/gKkl37BQuKTanygYQG1pyYgLVgf.jpg
Godzilla x Kong: The New Empire,tt14539740,https://image.tmdb.org/t/p/original/1G978IJ2KDPl4Z4icZrxZTozb1v.jpg
Kung Fu Panda 4 ,tt21692408,https://image.tmdb.org/t/p/original/kDp1vUBnMpe8ak4rjgl3cLELqjU.jpg
Ghostbusters: Frozen Empire,tt21235248,https://image.tmdb.org/t/p/original/e1J2oNzSBdou01sUvriVuoYp0pJ.jpg
Bob Marley: One Love,tt8521778,https://image.tmdb.org/t/p/original/n0GVTNJvhUlJ1Mj73JHZBTHVFuc.jpg
